date,matchup,best_bet,bookmaker,odds,model_probability,edge,confidence,result,profit
2026-06-09T00:40:00Z,SAS @ NYK,NYK,Bovada,-125,0.8027,0.2471,High,,
2026-06-09T00:44:00Z,SAS @ NYK,NYK,MyBookie.ag,155,0.8049,0.4127,High,,0.0
